entityId,TTrvD,TTrvAS,x_center,y_center,radius,numStayPointsVisits,avgTimeVisit,num_travels,avg_travel_time,avg_travel_distance,avg_travel_avg_speed
42,31947.28468,4.09581,434332.55178,6460568.3259,9364.6013,10,435.8,24,62.916666666666664,17.053808753415368,2.7297353721603326
43,35854.62101,4.59675,434587.19667,6460680.84655,9526.77974,7,526.4285714285714,24,62.916666666666664,56.835485265296434,4.455774762336438
44,36756.21127,4.71233,434558.67614,6460723.7977,9513.6396,4,906.0,24,62.916666666666664,59.96181030210676,4.581908901761733
45,36597.71086,4.69201,434679.84619,6460829.43563,9640.58636,8,463.375,24,62.916666666666664,54.97112888167726,4.442307659041044
46,33244.19064,4.26208,434475.17388,6461727.6739,10287.01121,11,364.1818181818182,23,65.3913043478261,29.583503298024667,2.925839634945788
47,33555.36991,4.30197,434435.77589,6461893.73365,10388.71462,13,310.3076923076923,21,71.52380952380952,31.4655072588747,2.5917029699937837
48,33801.22686,4.33349,434508.45692,6461774.7008,10388.05142,11,367.0,20,75.05,33.91562140778599,2.5864778316620822
49,29487.12649,3.7804,437093.04495,6458441.46735,8548.28732,6,678.0,23,47.73913043478261,303.56157460419365,6.001293832720762
50,30824.92441,3.95191,436827.23833,6458636.84309,8766.02993,11,323.6363636363636,23,42.65217391304348,250.36668500142898,5.989619654922573
51,30279.5249,3.88199,436713.92788,6459150.73209,8536.91608,5,723.2,22,40.13636363636363,217.06868023477563,5.528419933783283
52,30478.38688,3.90749,436724.29764,6459000.29644,8440.52153,7,508.0,22,40.13636363636363,223.39108317823778,5.94777181402248
53,30272.24228,3.88106,436813.29985,6458724.99502,8383.71858,10,361.5,22,40.13636363636363,227.669328133242,6.179567810409673
54,30228.89243,3.8755,436966.60204,6458560.33862,8335.5215,7,500.7142857142857,22,40.13636363636363,221.2468426759232,6.188014841029166
55,30201.88814,3.87204,436849.33084,6458819.42595,8439.22562,6,586.6666666666666,22,40.13636363636363,220.4957931812795,5.595170344251708
56,30372.674,3.89393,437115.38868,6458131.80453,8131.7956,25,154.64,22,40.13636363636363,228.39204604378492,5.964254680601285
57,30384.89107,3.8955,437206.77142,6458078.89145,8153.59512,28,141.5,22,40.13636363636363,229.20780794257698,6.482766010635549
58,30627.1915,3.92656,437239.13326,6457889.33908,8059.7043,29,137.44827586206895,22,40.13636363636363,225.27859958896295,6.577757461215526
59,30162.53463,3.86699,437031.22331,6458519.7713,8353.18907,16,230.8125,22,40.13636363636363,224.79304672898934,6.212587182351296
60,30227.90898,3.87537,436805.96364,6459017.6905,8522.79971,5,705.2,22,40.13636363636363,220.21869693088559,5.641540309508801
61,29236.79408,3.74831,437287.62498,6458001.46917,8341.70986,7,589.2857142857143,22,40.13636363636363,229.60825808375873,5.971403552999698
62,29498.59135,3.78187,437201.03285,6458316.09512,8539.53424,6,681.8333333333334,22,39.27272727272727,216.9759364634707,5.789017765737271
63,29237.80185,3.74844,437139.98883,6458227.60652,8446.14081,7,588.2857142857143,22,39.27272727272727,228.0056207434024,6.267137740191254
